TweetID,CreateDate,Antisemitic,text
1.23E+18,2020-02-15 17:57:21+00:00,1,"AIPAC should be registered as a foreign agent meddling in US elections.

American Israel Political Action Committee.

It is interfering in the US electoral process and should be put on trial and it's leaders imprisoned.  @benshapiro @charliekirk11 https://t.co/ebO4iPUah8"
1.24E+18,2020-03-16 13:43:43+00:00,1,"RT @qiss0rkid: go to israel pls , we don't need you"
1.22E+18,2020-01-13 03:16:06+00:00,1,"The world, including Canada, has given Israel a green light to take Palestinian land, destroy Palestinian homes, and strengthen a system of #Apartheid. Shame on us!"
1.22E+18,2020-01-14 16:37:12+00:00,0,"These children avoid walking over the US &amp; Israel flags. Supposedly, this is a generation which was taught to hate America &amp; Israel, but it is the opposite!
Iranians seek freedom, peace &amp; a dignified life unlike the oppressive Iranian regime.
WHY IS THE MEDIA PRO IRAN REGIME??? https://t.co/ym3Zt8jlfy"
1.23E+18,2020-02-25 10:58:23+00:00,0,RT @IDF: The last 24 hours in Israel: https://t.co/0YNwvMsYvL
1.22E+18,2020-02-02 17:44:17+00:00,0,@stranahan KnowMoreNews isn't confident enough to debate me that Jesuits control Israel not Jews https://t.co/rAFfEKOsLo
1.24E+18,2020-03-24 09:28:15+00:00,0,"""[Even] an heritage unto Israel his servant: for his mercy [endureth] for ever."" ~Psalms 136:22 #Bible #Poetry #God"
1.22E+18,2020-02-04 12:52:53+00:00,0,"Opinion: No One in Israel Knew They Were Committing a Massacre, and They Didn't Care

Gideon Levy
https://t.co/2Itgo9cuTE"
1.21E+18,2020-01-06 20:11:38+00:00,0,"https://t.co/LTB0zidzM9 When #TheCloudOfGod appeared in the days of Moses, He took the children of Israel from Egypt to grenade the Canaan through tremendous judgement of the Egyptians. GOD is coming back to judge gun SIN again."
1.24E+18,2020-03-17 01:56:06+00:00,0,Smokers appear to be at higher risk from coronavirus - expert | The Times of Israel https://t.co/HgKQ8M7cJr
1.22E+18,2020-01-10 20:12:19+00:00,0,"RT @SebGorka: So @IlhanMN hates Israel and defends Iran. 

   Now do you understand??"
1.26E+18,2020-04-29 06:46:33+00:00,0,"The #Danish Bible Society has removed dozens of references to 'Israel' from translations of the Hebrew Bible and the New Testament.

No one can rewrite history and delete #Israel from history. Israel is here yo stay, whether they like it or not. https://t.co/aeUx1paEUU"
1.23E+18,2020-02-19 20:57:02+00:00,0,gun CBS News: 'How Jewish American Pedophiles Hide From Justice in Israel' https://t.co/6ZKY4SaKTi https://t.co/3n7FgrgkZB
